"","GEOID","NAME","B28003_001E","B28003_001M","B28003_002E","B28003_002M","B28003_003E","B28003_003M","B28003_004E","B28003_004M","B28003_005E","B28003_005M","B28003_006E","B28003_006M"
"1","01003","Baldwin County, Alabama",76779,3010,66894,3117,229,186,59033,3341,7632,1949,9885,1894
"2","01015","Calhoun County, Alabama",43972,1687,37160,1948,40,66,31399,1996,5721,1302,6812,1022
"3","01043","Cullman County, Alabama",30299,1234,24601,1305,271,207,21793,1425,2537,859,5698,988
"4","01049","DeKalb County, Alabama",25383,1190,21038,1305,117,150,17234,1445,3687,997,4345,1003
"5","01051","Elmore County, Alabama",29350,1102,26807,1234,159,181,23710,1511,2938,1036,2543,720
"6","01055","Etowah County, Alabama",38766,1489,32526,1659,203,170,28068,1860,4255,918,6240,974
"7","01069","Houston County, Alabama",39167,959,31375,1022,188,116,27776,996,3411,449,7792,664
"8","01073","Jefferson County, Alabama",261904,4316,229312,4699,673,275,203608,4947,25031,2197,32592,2336
"9","01077","Lauderdale County, Alabama",37875,1391,30898,1688,163,204,26724,1658,4011,1023,6977,1276
"10","01081","Lee County, Alabama",59354,1783,54042,2081,151,199,48671,1964,5220,1123,5312,1231
"11","01083","Limestone County, Alabama",31880,1214,26790,1308,98,123,23050,1502,3642,1191,5090,1186
"12","01089","Madison County, Alabama",143669,2833,131789,3058,518,517,122117,3532,9154,1682,11880,1720
"13","01095","Marshall County, Alabama",34726,1047,29177,1318,84,90,27088,1504,2005,701,5549,1046
"14","01097","Mobile County, Alabama",157141,2741,129902,3346,750,449,112464,3489,16688,2067,27239,2389
"15","01101","Montgomery County, Alabama",90827,1963,77854,2306,211,290,71754,2549,5889,1416,12973,1490
"16","01103","Morgan County, Alabama",44816,1847,36987,2105,288,223,31957,1952,4742,1003,7829,1347
"17","01115","St. Clair County, Alabama",31615,1367,28292,1474,16,29,23696,1627,4580,1246,3323,994
"18","01117","Shelby County, Alabama",76059,1692,71987,1741,98,121,66827,1873,5062,1082,4072,895
"19","01121","Talladega County, Alabama",31517,1635,26992,1717,8,13,23476,1651,3508,850,4525,775
"20","01125","Tuscaloosa County, Alabama",73825,2003,63681,2400,69,117,56351,2906,7261,1585,10144,1608
"21","01127","Walker County, Alabama",23863,1316,20024,1318,151,147,17248,1417,2625,763,3839,750
